,date,pair,rolling_correlation
314,2018-04-04,rolling_corr_BTC_SPY_30,-0.05832454058356956
315,2018-04-05,rolling_corr_BTC_SPY_30,-0.08818088931296027
316,2018-04-06,rolling_corr_BTC_SPY_30,-0.08292419996243656
317,2018-04-09,rolling_corr_BTC_SPY_30,-0.02692992015109917
318,2018-04-10,rolling_corr_BTC_SPY_30,-0.051691095590706435
319,2018-04-11,rolling_corr_BTC_SPY_30,-0.004104435668641906
320,2018-04-12,rolling_corr_BTC_SPY_30,0.02401986267893329
321,2018-04-13,rolling_corr_BTC_SPY_30,-0.013413268527346171
322,2018-04-16,rolling_corr_BTC_SPY_30,-0.009676384947417712
323,2018-04-17,rolling_corr_BTC_SPY_30,-0.030952642643751214
324,2018-04-18,rolling_corr_BTC_SPY_30,-0.03150160758193614
325,2018-04-19,rolling_corr_BTC_SPY_30,-0.042893678729789685
326,2018-04-20,rolling_corr_BTC_SPY_30,-0.026938222469153568
327,2018-04-23,rolling_corr_BTC_SPY_30,0.04139156636383319
328,2018-04-24,rolling_corr_BTC_SPY_30,0.031241613163079135
329,2018-04-25,rolling_corr_BTC_SPY_30,0.034221650352023396
330,2018-04-26,rolling_corr_BTC_SPY_30,-0.021554780231331335
331,2018-04-27,rolling_corr_BTC_SPY_30,-0.02051431328544988
332,2018-04-30,rolling_corr_BTC_SPY_30,-0.019170783652456894
333,2018-05-01,rolling_corr_BTC_SPY_30,0.002699179915896993
334,2018-05-02,rolling_corr_BTC_SPY_30,0.004853866775684414
335,2018-05-03,rolling_corr_BTC_SPY_30,0.005819696985093392
336,2018-05-04,rolling_corr_BTC_SPY_30,0.039433393446938435
337,2018-05-07,rolling_corr_BTC_SPY_30,-0.0017371460019371366
338,2018-05-08,rolling_corr_BTC_SPY_30,0.031199062553246747
339,2018-05-09,rolling_corr_BTC_SPY_30,-0.04116759245451789
340,2018-05-10,rolling_corr_BTC_SPY_30,-0.05308731833003614
341,2018-05-11,rolling_corr_BTC_SPY_30,-0.06893246680942783
342,2018-05-14,rolling_corr_BTC_SPY_30,-0.1263780345331363
343,2018-05-15,rolling_corr_BTC_SPY_30,-0.15053171120009615
344,2018-05-16,rolling_corr_BTC_SPY_30,-0.2044902281021633
345,2018-05-17,rolling_corr_BTC_SPY_30,-0.1566941855405625
346,2018-05-18,rolling_corr_BTC_SPY_30,-0.1898890549682404
347,2018-05-21,rolling_corr_BTC_SPY_30,-0.17138380848623283
348,2018-05-22,rolling_corr_BTC_SPY_30,-0.10177710328674462
349,2018-05-23,rolling_corr_BTC_SPY_30,-0.1090098100488163
350,2018-05-24,rolling_corr_BTC_SPY_30,-0.09456638554639955
